1,-5.5156e-06,3.6132
2,-2.8686e-05,2.8862
3,3.9236e-05,2.7412
4,-2.5672e-05,0
5,3.2912e-05,2.8429
6,7.8267e-06,6.7114
7,1.3426e-05,6.5058
8,-1.4515e-05,6.6162
9,2.5382e-05,5.926
10,-1.2068e-05,8.3449
11,-1.2422e-05,7.5508
12,2.1405e-05,7.0792
13,1.5367e-05,6.7027
14,-6.3849e-05,7.3756
15,1.2504e-05,8.174
16,-5.7063e-06,8.1112
17,3.4185e-05,7.7953
18,-6.0706e-06,7.6395
19,6.3495e-05,7.4405
20,-7.1758e-05,6.8217
21,1.065e-05,6.9364
22,-2.5896e-05,6.8542
23,-2.8142e-05,6.5599
24,1.8603e-05,7.3258
25,9.4663e-05,7.3431
26,-5.9708e-05,7.0467
27,5.0992e-05,7.9771
28,-2.8476e-05,7.9078
29,1.5764e-05,8.2497
